subject,session,run,image_name,category,class_id
sub-02,ses-05,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\sofa\n04344873_10668_resized.jpg,sofa,17
sub-23,ses-02,run-04,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\aeroplane\2010_005776_resized.jpg,aeroplane,0
sub-20,ses-03,run-04,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\motorbike\2011_000770_resized.jpg,motorbike,14
sub-19,ses-01,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\cow\n02403003_13010_resized.jpg,cow,9
sub-24,ses-04,run-03,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\diningtable\n03201208_23609_resized.jpg,diningtable,10
sub-02,ses-04,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\flower\n11939491_55716_resized.jpg,flower,12
sub-17,ses-05,run-01,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\dog\001232_resized.jpg,dog,11
sub-09,ses-01,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\person\2010_000204_resized.jpg,person,15
sub-24,ses-04,run-04,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\bicycle\n03792782_4281_resized.jpg,bicycle,1
sub-03,ses-04,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\train\2010_005055_resized.jpg,train,18
sub-05,ses-03,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\sofa\n04344873_14363_resized.jpg,sofa,17
sub-24,ses-04,run-01,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\train\2010_000633_resized.jpg,train,18
sub-29,ses-03,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\person\005556_resized.jpg,person,15
sub-14,ses-02,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\sofa\n04344873_15649_resized.jpg,sofa,17
sub-29,ses-04,run-01,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\person\006442_resized.jpg,person,15
sub-05,ses-05,run-02,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\chair\n04099969_142_resized.jpg,chair,8
sub-05,ses-05,run-02,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\dog\2010_001009_resized.jpg,dog,11
sub-09,ses-03,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\car\2010_000160_resized.jpg,car,6
sub-19,ses-01,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\tvmonitor\2008_000244_resized.jpg,tvmonitor,19
sub-14,ses-01,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\boat\005604_resized.jpg,boat,3
sub-28,ses-03,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\train\008244_resized.jpg,train,18
sub-29,ses-01,run-04,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\sofa\n04344873_2496_resized.jpg,sofa,17
sub-14,ses-05,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bottle\n03983396_11322_resized.jpg,bottle,4
sub-19,ses-02,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\aeroplane\2008_000037_resized.jpg,aeroplane,0
sub-29,ses-01,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\motorbike\n03785016_25168_resized.jpg,motorbike,14
sub-17,ses-04,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\person\2008_002634_resized.jpg,person,15
sub-15,ses-03,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\tvmonitor\n03782006_42930_resized.jpg,tvmonitor,19
sub-03,ses-01,run-03,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\motorbike\n03785016_12530_resized.jpg,motorbike,14
sub-28,ses-03,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\bottle\2010_004520_resized.jpg,bottle,4
sub-09,ses-01,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bus\n04487081_762_resized.jpg,bus,5
sub-20,ses-03,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\motorbike\n03785016_15972_resized.jpg,motorbike,14
sub-17,ses-01,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\car\000776_resized.jpg,car,6
sub-24,ses-04,run-02,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\bicycle\007607_resized.jpg,bicycle,1
sub-20,ses-01,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\bird\2009_002256_resized.jpg,bird,2
sub-17,ses-05,run-02,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\motorbike\n03791053_753_resized.jpg,motorbike,14
sub-09,ses-01,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\dog\2010_005033_resized.jpg,dog,11
sub-20,ses-03,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\cat\2010_005696_resized.jpg,cat,7
sub-19,ses-01,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\boat\2009_002173_resized.jpg,boat,3
sub-19,ses-04,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\chair\n04099969_6230_resized.jpg,chair,8
sub-02,ses-04,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\sheep\2010_004188_resized.jpg,sheep,16
sub-02,ses-04,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\horse\n02389026_4023_resized.jpg,horse,13
sub-20,ses-03,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\flower\n11939491_37954_resized.jpg,flower,12
sub-20,ses-03,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\aeroplane\2009_003097_resized.jpg,aeroplane,0
sub-14,ses-02,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\chair\n02791124_2934_resized.jpg,chair,8
sub-24,ses-03,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bus\n04487081_9602_resized.jpg,bus,5
sub-19,ses-02,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\chair\n04099969_29038_resized.jpg,chair,8
sub-05,ses-01,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\horse\2008_006429_resized.jpg,horse,13
sub-15,ses-05,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\motorbike\n03785016_4825_resized.jpg,motorbike,14
sub-14,ses-05,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\horse\n02389026_3478_resized.jpg,horse,13
sub-03,ses-02,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\dog\001642_resized.jpg,dog,11
sub-29,ses-04,run-03,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\cat\2009_000330_resized.jpg,cat,7
sub-19,ses-01,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\car\2009_001097_resized.jpg,car,6
sub-09,ses-01,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\sofa\n04344873_12524_resized.jpg,sofa,17
sub-28,ses-03,run-04,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\aeroplane\2009_002770_resized.jpg,aeroplane,0
sub-17,ses-01,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\chair\n03376595_1132_resized.jpg,chair,8
sub-09,ses-05,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\aeroplane\004052_resized.jpg,aeroplane,0
sub-14,ses-02,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\horse\n02389026_6203_resized.jpg,horse,13
sub-09,ses-03,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bottle\n03983396_2847_resized.jpg,bottle,4
sub-05,ses-03,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\sofa\n04344873_3148_resized.jpg,sofa,17
sub-23,ses-02,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\chair\n03376595_6586_resized.jpg,chair,8
sub-02,ses-03,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\car\003357_resized.jpg,car,6
sub-24,ses-01,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bicycle\n02835271_12544_resized.jpg,bicycle,1
sub-03,ses-02,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bird\2008_008314_resized.jpg,bird,2
sub-28,ses-05,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\train\008364_resized.jpg,train,18
sub-09,ses-01,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\chair\2011_001834_resized.jpg,chair,8
sub-15,ses-03,run-04,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\dog\2009_004483_resized.jpg,dog,11
sub-14,ses-02,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\cow\2009_003825_resized.jpg,cow,9
sub-28,ses-05,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\cow\002088_resized.jpg,cow,9
sub-09,ses-01,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\chair\2009_002252_resized.jpg,chair,8
sub-02,ses-03,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\train\2011_001281_resized.jpg,train,18
sub-23,ses-04,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\cat\005562_resized.jpg,cat,7
sub-19,ses-01,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\aeroplane\003144_resized.jpg,aeroplane,0
sub-02,ses-05,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\diningtable\n03201208_22631_resized.jpg,diningtable,10
sub-15,ses-03,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\chair\2008_005561_resized.jpg,chair,8
sub-15,ses-05,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\person\003731_resized.jpg,person,15
sub-24,ses-04,run-03,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\train\2011_001776_resized.jpg,train,18
sub-09,ses-01,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\sheep\2010_004812_resized.jpg,sheep,16
sub-03,ses-02,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\chair\2011_002041_resized.jpg,chair,8
sub-05,ses-03,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bicycle\n02835271_25268_resized.jpg,bicycle,1
sub-05,ses-01,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\cow\n02410509_336_resized.jpg,cow,9
sub-15,ses-05,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\tvmonitor\002997_resized.jpg,tvmonitor,19
sub-20,ses-01,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\tvmonitor\009373_resized.jpg,tvmonitor,19
sub-03,ses-02,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\boat\2009_004557_resized.jpg,boat,3
sub-23,ses-04,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\train\2010_002369_resized.jpg,train,18
sub-28,ses-02,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\dog\002578_resized.jpg,dog,11
sub-29,ses-04,run-04,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\chair\n04099969_32515_resized.jpg,chair,8
sub-24,ses-01,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\tvmonitor\n03782006_28802_resized.jpg,tvmonitor,19
sub-05,ses-05,run-04,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\bird\2010_002873_resized.jpg,bird,2
sub-19,ses-01,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\train\001567_resized.jpg,train,18
sub-02,ses-04,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bicycle\n02835271_4961_resized.jpg,bicycle,1
sub-29,ses-01,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\person\2008_001263_resized.jpg,person,15
sub-09,ses-05,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\chair\n04099969_1040_resized.jpg,chair,8
sub-20,ses-03,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\bicycle\009305_resized.jpg,bicycle,1
sub-02,ses-04,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\tvmonitor\n03782006_18021_resized.jpg,tvmonitor,19
sub-15,ses-05,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\tvmonitor\n03782006_7709_resized.jpg,tvmonitor,19
sub-19,ses-04,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bus\n04487081_13778_resized.jpg,bus,5
sub-28,ses-02,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\sofa\n04344873_41033_resized.jpg,sofa,17
sub-24,ses-01,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bus\2009_002052_resized.jpg,bus,5
sub-14,ses-02,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\horse\007805_resized.jpg,horse,13
sub-28,ses-03,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\car\2009_001744_resized.jpg,car,6
sub-28,ses-02,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\bicycle\2010_001540_resized.jpg,bicycle,1
sub-15,ses-05,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\dog\004264_resized.jpg,dog,11
sub-03,ses-02,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bottle\2011_002387_resized.jpg,bottle,4
sub-23,ses-02,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\dog\2010_001421_resized.jpg,dog,11
sub-14,ses-02,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\dog\2009_000651_resized.jpg,dog,11
sub-24,ses-04,run-01,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\flower\n11939491_15737_resized.jpg,flower,12
sub-28,ses-03,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\tvmonitor\n03782006_10542_resized.jpg,tvmonitor,19
sub-29,ses-03,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\diningtable\n03201208_46170_resized.jpg,diningtable,10
sub-24,ses-01,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bus\n04487081_20011_resized.jpg,bus,5
sub-23,ses-03,run-04,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\boat\007289_resized.jpg,boat,3
sub-03,ses-01,run-03,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\tvmonitor\n03782006_4825_resized.jpg,tvmonitor,19
sub-05,ses-03,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\cow\2009_004289_resized.jpg,cow,9
sub-03,ses-01,run-01,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\person\2009_002800_resized.jpg,person,15
sub-02,ses-05,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\train\2011_001614_resized.jpg,train,18
sub-20,ses-01,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\tvmonitor\n03782006_21307_resized.jpg,tvmonitor,19
sub-19,ses-04,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\dog\2010_000079_resized.jpg,dog,11
sub-05,ses-01,run-04,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\flower\n11939491_6087_resized.jpg,flower,12
sub-20,ses-01,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\person\003064_resized.jpg,person,15
sub-24,ses-01,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\boat\2010_002216_resized.jpg,boat,3
sub-20,ses-02,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\sheep\002209_resized.jpg,sheep,16
sub-20,ses-01,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\chair\n02791124_10186_resized.jpg,chair,8
sub-24,ses-01,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\sofa\2011_000565_resized.jpg,sofa,17
sub-19,ses-01,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bird\2008_003894_resized.jpg,bird,2
sub-24,ses-01,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bottle\006892_resized.jpg,bottle,4
sub-20,ses-02,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\cow\n02408429_6388_resized.jpg,cow,9
sub-15,ses-03,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\cow\001130_resized.jpg,cow,9
sub-19,ses-04,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\car\2009_000523_resized.jpg,car,6
sub-09,ses-01,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\tvmonitor\n03782006_35921_resized.jpg,tvmonitor,19
sub-20,ses-02,run-04,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\person\2008_002997_resized.jpg,person,15
sub-19,ses-01,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bus\2011_000090_resized.jpg,bus,5
sub-09,ses-05,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\sofa\n04344873_14180_resized.jpg,sofa,17
sub-20,ses-02,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\cat\005460_resized.jpg,cat,7
sub-15,ses-03,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\boat\n03095699_1133_resized.jpg,boat,3
sub-14,ses-01,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\sofa\001204_resized.jpg,sofa,17
sub-23,ses-02,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\diningtable\n03201208_44222_resized.jpg,diningtable,10
sub-28,ses-03,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\bird\002094_resized.jpg,bird,2
sub-28,ses-02,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\bird\2010_003081_resized.jpg,bird,2
sub-03,ses-04,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bus\2011_000901_resized.jpg,bus,5
sub-24,ses-03,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\train\001653_resized.jpg,train,18
sub-24,ses-03,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\aeroplane\002266_resized.jpg,aeroplane,0
sub-17,ses-01,run-04,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\diningtable\n03201208_24687_resized.jpg,diningtable,10
sub-05,ses-01,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\bird\2008_002255_resized.jpg,bird,2
sub-29,ses-03,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\car\001956_resized.jpg,car,6
sub-28,ses-03,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\boat\2008_008170_resized.jpg,boat,3
sub-24,ses-03,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\chair\n03376595_1456_resized.jpg,chair,8
sub-03,ses-01,run-02,C:\Users\DELL\Desktop\eeg_code_exp-info\pic_10000_resized\sofa\n04344873_604_resized.jpg,sofa,17
sub-05,ses-03,run-02,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\boat\002274_resized.jpg,boat,3
sub-09,ses-05,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\cow\n02410509_3139_resized.jpg,cow,9
sub-09,ses-01,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bottle\n03983396_1359_resized.jpg,bottle,4
sub-19,ses-02,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\horse\n02389026_8638_resized.jpg,horse,13
sub-02,ses-03,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\tvmonitor\n03782006_1153_resized.jpg,tvmonitor,19
sub-23,ses-04,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\horse\n02389026_1168_resized.jpg,horse,13
sub-15,ses-05,run-03,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\horse\n02389026_5446_resized.jpg,horse,13
sub-20,ses-02,run-04,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\diningtable\n03201208_6339_resized.jpg,diningtable,10
sub-05,ses-03,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\cow\2010_003507_resized.jpg,cow,9
sub-17,ses-01,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\bus\n04487081_20297_resized.jpg,bus,5
sub-23,ses-03,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\bottle\2008_000911_resized.jpg,bottle,4
sub-09,ses-05,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\dog\2008_003922_resized.jpg,dog,11
sub-24,ses-03,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\horse\2009_001724_resized.jpg,horse,13
sub-05,ses-01,run-02,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\cow\n02408429_7919_resized.jpg,cow,9
sub-05,ses-01,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\aeroplane\2010_000295_resized.jpg,aeroplane,0
sub-24,ses-03,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\car\004863_resized.jpg,car,6
sub-05,ses-01,run-03,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\tvmonitor\n03782006_119_resized.jpg,tvmonitor,19
sub-29,ses-03,run-01,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\bottle\n03983396_4716_resized.jpg,bottle,4
sub-14,ses-01,run-01,C:\Users\Huawei\Desktop\eeg_pascal_imagenet\pic_10000_resized\tvmonitor\n03782006_12732_resized.jpg,tvmonitor,19
sub-23,ses-04,run-04,C:\Users\casia\Desktop\eeg_code_exp-info\pic_10000_resized\cow\n02410509_5955_resized.jpg,cow,9
